symbol,company,last.sale.price,market.cap,country,ipo.year,industry
ARI,Apollo Commercial Real Estate Finance Inc,13.55,1895564513,United States,2009,Real Estate Investment Trusts
ARIS,Aris Water Solutions Inc. Class A Common Stock,12.75,258793125,,2021,Water Supply
ARL,American Realty Investors Inc. Common Stock,12.6,203515742,United States,NA,Building operators
ARLO,Arlo Technologies Inc. Common Stock,10.23,862382934,United States,2018,Diversified Manufacture
ARMK,Aramark Common Stock,36.72,9417365938,,2013,Restaurants
ARNC,Arconic Corporation Common Stock,33.56,3573717345,,2020,Industrial Machinery/Components
AROC,Archrock Inc. Common Stock,7.47,1150752215,United States,NA,Oil & Gas Production
ARR,ARMOUR Residential REIT Inc.,9.93,890612058,United States,NA,Real Estate Investment Trusts
ARR^C,ARMOUR Residential REIT Inc. 7% Series C Cumulative Redeemable Preferred Stock (liquidation preference $25.00 per share),25.64,NA,United States,NA,
ARW,Arrow Electronics Inc. Common Stock,136.08,9475140447,United States,NA,Electronic Components
ASA,ASA  Gold and Precious Metals Limited,21.02,405473803,United States,NA,Precious Metals
ASAI,Sendas Distribuidora S A ADS,11.3,3043526090,,2021,Food Chains
ASAN,Asana Inc. Class A Common Stock,72.11,13443425332,,2020,Retail: Computer Software & Peripheral Equipment
ASAQ,Atlantic Street Acquisition Corp Class A Common Stock,9.81,306562500,United States,2020,
ASB,Associated Banc-Corp Common Stock,22.76,3415691614,United States,NA,Major Banks
ASB^E,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of 5.875% Non-Cumulative Perpetual Preferred Stock Series E,26.7587,NA,United States,NA,
ASB^F,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of Associated Banc-Corp 5.625% Non-Cumulative Perpetual Preferred Stock Series F,26.925,NA,United States,NA,
ASC,Ardmore Shipping Corporation Common Stock,3.36,115462650,,2013,Marine Transportation
ASG,Liberty All-Star Growth Fund Inc.,9.1,488014017,United States,NA,Investment Managers
ASGI,Aberdeen Standard Global Infrastructure Income Fund Common Shares of Beneficial Interest,20.39,178255905,,2020,Investment Managers
ASGN,ASGN Incorporated Common Stock,124.46,6484366000,United States,1992,EDP Services
ASH,Ashland Global Holdings Inc. Common Stock,106.83,6079522556,United States,NA,Specialty Chemicals
ASIX,AdvanSix Inc. Common Stock,46.32,1303094899,United States,2016,Major Chemicals
ASPN,Aspen Aerogels Inc. Common Stock,49.52,1638086886,United States,2014,Wholesale Distributors
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,202.16,6064800000,Mexico,NA,Aerospace
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares),7.81,16693312977,,2018,Semiconductors
ASZ,Austerlitz Acquisition Corporation II Class A Ordinary Shares,9.73,1918199989,,2021,
ATA,Americas Technology Acquisition Corp. Ordinary Shares,10.14,147030000,,2021,Business Services
ATAQ,Altimar Acquisition Corp. III Class A Ordinary Shares,9.72,188628750,,2021,
ATC,Atotech Limited Common Shares,25.54,4972531549,,2021,Major Chemicals
ATCO,Atlas Corp. Common Shares,14.06,3472926575,United Kingdom,NA,Marine Transportation
ATCO^D,Atlas Corp. 7.95% Series D,25.69,NA,United Kingdom,NA,
ATCO^H,Atlas Corp. 7.875% Series H,25.63,NA,United Kingdom,NA,
ATCO^I,Atlas Corp. Series I Fixed-to-Floating,27.32,NA,United Kingdom,NA,
ATEN,A10 Networks Inc. Common Stock,16.77,1300511521,,2014,EDP Services
ATGE,Adtalem Global Education Inc. Common Stock,29.16,1451139614,United States,NA,Other Consumer Services
ATH,Athene Holding Ltd. Class A Common Shares,83.64,16070718155,Bermuda,2016,Life Insurance
ATH^A,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share Series A,29.54,NA,Bermuda,NA,
ATH^B,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 5.625% Fixed Rate Perpetual Non- Cumulative Preference Share Series B par value $1.00 per share,27.09,NA,Bermuda,NA,
ATH^C,Athene Holding Ltd. Depositary Shares each representing a 1/1000th Interest in a Share of 6.375% Fixed-Rate Reset Perpetual Non-Cumulative Preference Shares Series C,28.75,NA,Bermuda,NA,
ATH^D,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 4.875% Fixed-Rate Perpetual Non-Cumulative Preference Share Series D,25.33,NA,Bermuda,NA,
ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.,26.13,3265715250,,2013,EDP Services
ATHN,Athena Technology Acquisition Corp. Class A Common Stock,9.64,330330670,,2021,
ATI,Allegheny Technologies Incorporated Common Stock,15.89,2021976250,United States,NA,Steel/Iron Ore
ATIP,ATI Physical Therapy Inc. Class A Common Stock,3.03,597680850,,2020,Managed Health Care
ATKR,Atkore Inc. Common Stock,113.66,5268318651,United States,2016,Electrical Products
ATO,Atmos Energy Corporation Common Stock,104.83,13911489995,United States,NA,Oil/Gas Transmission
ATR,AptarGroup Inc. Common Stock,122.1,8037489643,United States,NA,Office Equipment/Supplies/Services
ATTO,Atento S.A. Ordinary Shares,24,360000000,,2014,Telecommunications Equipment
